State_Name,"ROUND(AVG(Mean),1)","ROUND(AVG(Median),1)"
"Puerto Rico",27841.7,22522.4
Mississippi,49385.6,57964.7
Arkansas,52213.9,52536.1
"West Virginia",52292.0,63566.3
Alabama,54023.8,63252.2
Oklahoma,55339.7,62266.9
Kentucky,55473.4,64634.4
"South Carolina",56081.8,68655.8
Louisiana,56202.2,60662.2
Idaho,56466.0,80698.3
Tennessee,56925.2,65809.9
Missouri,57164.9,71547.4
"New Mexico",57791.5,84249.3
Montana,57854.1,73198.8
"North Carolina",58582.4,71711.4
Indiana,59238.0,83392.1
Ohio,59942.5,75219.9
"South Dakota",60007.0,85264.0
Michigan,60180.1,71439.6
Georgia,60576.6,71933.0
Maine,60843.9,64722.6
Florida,61482.4,75993.7
Kansas,61821.1,82639.8
Nebraska,61953.2,91474.5
Iowa,62707.3,80718.2
Arizona,63603.7,80774.9
Vermont,63966.2,82101.9
Oregon,64023.1,86904.4
Wisconsin,64526.2,79861.0
"North Dakota",64748.7,83219.0
Pennsylvania,65277.0,83725.6
Texas,66446.7,87472.4
Nevada,66657.7,92665.0
Illinois,69358.2,87136.5
Wyoming,69676.5,126316.7
Delaware,70948.6,88087.0
Minnesota,71665.6,88816.8
"Rhode Island",72971.2,105752.0
Utah,73483.5,113210.1
Colorado,74233.7,101511.2
Washington,75285.8,101869.5
"New Hampshire",76699.0,101924.1
"New York",77859.3,102731.8
California,78742.0,101359.0
Virginia,80426.3,105313.4
Alaska,81311.8,122295.7
Hawaii,82992.1,102101.8
Massachusetts,85645.7,119074.4
Maryland,88444.2,114969.2
"New Jersey",89565.4,126972.7
Connecticut,89732.8,121240.4
"District of Columbia",90668.4,93759.6
